capture,pass_index,retained_nodes,dirty_nodes,host_requests,taffy_miss,taffy_hit,taffy_root_ns,snapshot_ns,cow_ns
perfetto-fixed-r1-scroll,48,669,18,6,226,1348,11628959,3243542,417
perfetto-fixed-r1-scroll,49,669,18,0,157,1013,9035667,3613334,417
perfetto-fixed-r1-scroll,50,676,34,15,290,1417,9991959,2191917,4125
perfetto-fixed-r1-scroll,51,676,22,9,284,1456,13437291,3743250,166
perfetto-fixed-r1-scroll,52,676,22,0,209,1125,9078833,3825375,292
perfetto-fixed-r1-scroll,53,676,10,0,49,59,3093375,3595458,4125
perfetto-fixed-r1-scroll,54,669,26,10,230,1322,7475750,1737250,2625
perfetto-fixed-r1-scroll,55,669,18,6,226,1348,8748667,1945458,291
perfetto-fixed-r1-scroll,56,669,18,0,157,1013,7266583,2017542,1375
perfetto-fixed-r1-scroll,57,669,10,0,49,59,1861541,5773459,2958
perfetto-fixed-r1-scroll,58,669,26,10,230,1322,11881209,1977834,4000
perfetto-fixed-r1-scroll,59,669,18,6,226,1348,12797667,4308334,583
perfetto-fixed-r1-scroll,60,669,18,0,157,1013,5188208,4131542,958
perfetto-fixed-r1-scroll,61,669,27,10,232,1320,10789833,4119167,5125
perfetto-fixed-r1-scroll,62,669,18,6,226,1348,8668917,2256875,500
perfetto-fixed-r1-scroll,63,669,18,0,157,1013,6695250,3497834,417
perfetto-fixed-r1-scroll,64,669,27,10,232,1320,15103250,4259208,4291
perfetto-fixed-r1-scroll,65,669,18,6,226,1348,10638458,2294583,541
perfetto-fixed-r1-scroll,66,669,18,0,157,1013,5407417,3951458,375
perfetto-fixed-r1-scroll,67,669,12,0,116,1170,7318500,3908917,2750
perfetto-fixed-r1-scroll,68,676,33,15,288,1419,11090875,3455334,2667
perfetto-fixed-r1-scroll,69,676,22,9,284,1456,14522500,2501792,833
perfetto-fixed-r1-scroll,70,676,22,0,209,1125,11418875,3509625,250
perfetto-fixed-r1-scroll,71,669,12,0,60,810,7439458,4635792,3750
perfetto-fixed-r1-scroll,72,676,26,10,231,1343,11129875,2069250,3375
perfetto-fixed-r1-scroll,73,676,18,6,227,1369,7772959,1890042,209
perfetto-fixed-r1-scroll,74,676,18,0,157,1027,6306250,3945375,417
perfetto-fixed-r1-scroll,75,669,27,10,232,1320,10341041,4298875,2709
perfetto-fixed-r1-scroll,76,669,18,6,226,1348,14797041,2221625,542
perfetto-fixed-r1-scroll,77,669,18,0,157,1013,9087042,4352291,708
perfetto-fixed-r1-scroll,78,669,26,10,230,1322,8864334,4401750,3834
perfetto-fixed-r1-scroll,79,669,18,6,226,1348,14115250,4290208,500
perfetto-fixed-r1-scroll,80,669,18,0,157,1013,5893125,2626750,458
perfetto-fixed-r1-scroll,81,676,26,10,231,1343,11855750,3173750,3333
perfetto-fixed-r1-scroll,82,676,18,6,227,1369,11118000,3122709,1417
perfetto-fixed-r1-scroll,83,676,18,0,157,1027,6793083,1742583,625
perfetto-fixed-r1-scroll,84,676,26,10,231,1343,13850041,2330209,3584
perfetto-fixed-r1-scroll,85,676,18,6,227,1369,10945292,4883416,542
perfetto-fixed-r1-scroll,86,676,18,0,157,1027,6358167,2580208,917
perfetto-fixed-r1-scroll,87,669,33,15,287,1398,9901875,2449500,3083
perfetto-fixed-r1-scroll,88,669,22,9,283,1435,11930000,3127000,1709
perfetto-fixed-r1-scroll,89,669,22,0,209,1111,7662542,3966000,667
perfetto-fixed-r1-scroll,90,669,33,15,287,1398,15634125,1820667,3084
perfetto-fixed-r1-scroll,91,669,22,9,283,1435,9873416,3155083,625
perfetto-fixed-r1-scroll,92,669,22,0,209,1111,5283417,1755750,958
perfetto-fixed-r2-group-back,0,295,5,0,33,28,977250,1493333,3333
perfetto-fixed-r2-group-open,0,322,32,3,176,182,3083334,2171417,2666
perfetto-fixed-r2-group-open,1,322,12,1,77,138,1283708,1064542,333
perfetto-fixed-r2-group-open,2,322,12,0,66,142,1383042,859000,291
perfetto-fixed-r2-group-open,3,322,10,0,49,59,1207083,1585917,2834
perfetto-fixed-r2-group-open,4,520,220,167,1804,2979,34445458,1205250,4166
perfetto-fixed-r2-group-open,5,520,131,101,1797,3301,42494125,2055250,417
perfetto-fixed-r2-group-open,6,520,131,6,1623,3417,43095833,2394583,1041
perfetto-fixed-r2-group-open,7,520,14,2,96,586,2508875,2918417,458
perfetto-fixed-r2-group-open,8,520,14,0,96,586,4852750,2079000,1541
perfetto-fixed-r2-group-open,9,492,12,0,91,645,3950375,2242125,3959
perfetto-fixed-r2-reader-back,0,492,27,0,97,158,4095416,3543333,4500
perfetto-fixed-r2-reader-back,1,499,32,5,210,1015,9693334,1903375,3625
perfetto-fixed-r2-reader-back,2,499,14,3,143,759,5921708,2060084,1250
perfetto-fixed-r2-reader-back,3,499,14,0,105,579,5913250,3466875,375
perfetto-fixed-r2-reader-back,4,492,11,0,58,462,2941291,2312208,3291
perfetto-fixed-r2-reader-open,0,499,13,0,49,30,478000,3812292,1833
perfetto-fixed-r2-reader-open,1,499,33,0,81,296,2770625,5654791,4250
perfetto-fixed-r2-reader-open,2,563,93,0,648,618,11544166,3309333,3875
perfetto-fixed-r2-reader-open,3,509,29,0,69,105,1615875,3482292,2875
perfetto-fixed-r2-reader-open,4,509,38,0,160,134,4082125,3060459,3459
perfetto-fixed-r2-reader-open,5,512,31,0,94,134,1410209,1500125,3708
perfetto-fixed-r2-scroll,0,499,18,5,145,746,4401834,1553292,3667
perfetto-fixed-r2-scroll,1,499,14,3,143,759,3885375,1388542,417
perfetto-fixed-r2-scroll,2,499,14,0,105,579,3319250,2807667,208
perfetto-fixed-r2-scroll,3,506,18,5,148,765,6188084,2992084,3500
perfetto-fixed-r2-scroll,4,506,14,3,144,780,9359875,3369709,750
perfetto-fixed-r2-scroll,5,506,14,0,105,593,6821209,3098750,750
perfetto-fixed-r2-scroll,6,527,32,15,265,980,6329958,1360042,2625
perfetto-fixed-r2-scroll,7,527,22,9,263,1015,11071250,1420625,917
perfetto-fixed-r2-scroll,8,527,22,0,209,831,8187667,1796209,1334
perfetto-fixed-r2-scroll,9,527,10,0,49,59,1293750,2087792,2167
perfetto-fixed-r2-scroll,10,541,25,10,210,946,6001917,2203333,4416
perfetto-fixed-r2-scroll,11,541,18,6,208,970,6526209,2955791,1000
perfetto-fixed-r2-scroll,12,541,18,0,157,761,6117166,1365834,625
perfetto-fixed-r2-scroll,13,555,26,10,214,986,9893958,2012500,2958
perfetto-fixed-r2-scroll,14,555,18,6,210,1012,11379708,2513625,125
perfetto-fixed-r2-scroll,15,555,18,0,157,789,7996416,2802958,333
perfetto-fixed-r2-scroll,16,562,19,5,158,931,9173416,1639083,3583
perfetto-fixed-r2-scroll,17,562,14,3,155,945,10410125,4033958,750
perfetto-fixed-r2-scroll,18,562,14,0,106,704,5001083,1749417,500
perfetto-fixed-r2-scroll,19,562,12,0,101,855,7514125,3738583,3417
perfetto-fixed-r2-scroll,20,569,18,5,157,954,8862833,2859958,4625
perfetto-fixed-r2-scroll,21,569,14,3,155,967,7114916,2687083,625
perfetto-fixed-r2-scroll,22,569,14,0,105,719,2550084,2279458,459
perfetto-fixed-r2-scroll,23,569,10,0,49,59,1116333,3140875,3791
perfetto-fixed-r2-scroll,24,583,25,10,216,1072,7185750,4514584,2750
perfetto-fixed-r2-scroll,25,583,18,6,214,1096,5730625,3690292,458
perfetto-fixed-r2-scroll,26,583,18,0,157,845,6060667,2262375,292
perfetto-fixed-r2-scroll,27,597,26,10,220,1112,9180792,4075542,3625
perfetto-fixed-r2-scroll,28,597,18,6,216,1138,11216000,2288292,625
perfetto-fixed-r2-scroll,29,597,18,0,157,873,3630542,1821209,125
perfetto-fixed-r2-scroll,30,604,19,5,164,1057,11200000,3697375,5542
perfetto-fixed-r2-scroll,31,604,14,3,160,1072,19005833,6262625,1250
perfetto-fixed-r2-scroll,32,604,14,0,105,789,6043917,2063916,959
perfetto-fixed-r2-scroll,33,625,33,15,281,1272,8564709,1519083,2500
perfetto-fixed-r2-scroll,34,625,22,9,277,1309,8674500,1796292,209
perfetto-fixed-r2-scroll,35,625,22,0,209,1027,6793667,1688458,167
perfetto-fixed-r2-scroll,36,625,10,0,49,59,1275167,3152916,3875
perfetto-fixed-r2-scroll,37,639,25,10,224,1240,12946750,2467333,3375
perfetto-fixed-r2-scroll,38,639,18,6,222,1264,13211042,2746459,1667
perfetto-fixed-r2-scroll,39,639,18,0,157,957,4037708,2599542,208
perfetto-fixed-r2-scroll,40,646,19,5,170,1183,8254584,4068416,4208
perfetto-fixed-r2-scroll,41,646,14,3,167,1197,12200792,3536250,416
perfetto-fixed-r2-scroll,42,646,14,0,105,873,8309583,3771667,167
perfetto-fixed-r2-scroll,43,653,19,5,172,1203,5841459,4184791,3500
perfetto-fixed-r2-scroll,44,653,14,3,167,1219,6114000,4719542,250
perfetto-fixed-r2-scroll,45,653,14,0,105,887,4096083,1670625,458
